loss,val_loss,mean_absolute_error,val_mean_absolute_error,mean_squared_error,val_mean_squared_error,mean_absolute_percentage_error,val_mean_absolute_percentage_error,average_l1,val_average_l1
0.0385,0.0321,0.0385,0.0321,0.0385,0.0321,0.0385,0.0321,0.0385,0.0321
0.0213,0.0232,0.0213,0.0232,0.0213,0.0232,0.0213,0.0232,0.0213,0.0232
0.019,0.0245,0.019,0.0245,0.019,0.0245,0.019,0.0245,0.019,0.0245
0.0179,0.0245,0.0179,0.0245,0.0179,0.0245,0.0179,0.0245,0.0179,0.0245
0.017,0.0253,0.017,0.0253,0.017,0.0253,0.017,0.0253,0.017,0.0253
0.0161,0.0268,0.0161,0.0268,0.0161,0.0268,0.0161,0.0268,0.0161,0.0268
0.016,0.0269,0.016,0.0269,0.016,0.0269,0.016,0.0269,0.016,0.0269
0.0153,0.025,0.0153,0.025,0.0153,0.025,0.0153,0.025,0.0153,0.025
0.0147,0.0266,0.0147,0.0266,0.0147,0.0266,0.0147,0.0266,0.0147,0.0266
0.0139,0.0245,0.0139,0.0245,0.0139,0.0245,0.0139,0.0245,0.0139,0.0245
0.014,0.0251,0.014,0.0251,0.014,0.0251,0.014,0.0251,0.014,0.0251
0.0139,0.0249,0.0139,0.0249,0.0139,0.0249,0.0139,0.0249,0.0139,0.0249
0.0132,0.0268,0.0132,0.0268,0.0132,0.0268,0.0132,0.0268,0.0132,0.0268
0.0127,0.0244,0.0127,0.0244,0.0127,0.0244,0.0127,0.0244,0.0127,0.0244
0.0126,0.0258,0.0126,0.0258,0.0126,0.0258,0.0126,0.0258,0.0126,0.0258
0.0122,0.0253,0.0122,0.0253,0.0122,0.0253,0.0122,0.0253,0.0122,0.0253
0.013,0.0245,0.013,0.0245,0.013,0.0245,0.013,0.0245,0.013,0.0245
0.0139,0.0268,0.0139,0.0268,0.0139,0.0268,0.0139,0.0268,0.0139,0.0268
0.0132,0.0253,0.0132,0.0253,0.0132,0.0253,0.0132,0.0253,0.0132,0.0253
0.0127,0.025,0.0127,0.025,0.0127,0.025,0.0127,0.025,0.0127,0.025
0.0126,0.0266,0.0126,0.0266,0.0126,0.0266,0.0126,0.0266,0.0126,0.0266
0.0122,0.0244,0.0122,0.0244,0.0122,0.0244,0.0122,0.0244,0.0122,0.0244
0.0129,0.0269,0.0129,0.0269,0.0113,0.0269,0.0113,0.0269,0.0113,0.0269
0.0126,0.0245,0.0126,0.0245,0.0126,0.0245,0.0126,0.0245,0.0126,0.0245
0.0122,0.0244,0.0122,0.0244,0.0122,0.0244,0.0122,0.0244,0.0122,0.0244
0.0113,0.0258,0.0113,0.0258,0.0113,0.0258,0.0113,0.0258,0.0113,0.0258
0.0126,0.0253,0.0126,0.0253,0.0126,0.0253,0.0126,0.0253,0.0126,0.0253
0.0123,0.0245,0.0123,0.0245,0.0122,0.0245,0.0122,0.0245,0.0122,0.0245
0.0122,0.0268,0.0122,0.0268,0.0113,0.0268,0.0113,0.0268,0.0113,0.0268
0.0121,0.025,0.0121,0.025,0.0126,0.025,0.0126,0.025,0.0126,0.025
0.013,0.0266,0.013,0.0266,0.0122,0.0266,0.0122,0.0266,0.0122,0.0266
0.013,0.0245,0.013,0.0245,0.0113,0.0245,0.0113,0.0245,0.0113,0.0245
0.0112,0.0251,0.0112,0.0251,0.0126,0.0251,0.0126,0.0251,0.0126,0.0251
0.0122,0.0249,0.0122,0.0249,0.0122,0.0249,0.0122,0.0249,0.0122,0.0249
0.0113,0.0268,0.0113,0.0268,0.0113,0.0268,0.0113,0.0268,0.0113,0.0268
0.0118,0.0269,0.0118,0.0269,0.0118,0.0269,0.0118,0.0269,0.0118,0.0269
0.0129,0.0245,0.0129,0.0245,0.0129,0.0245,0.0129,0.0245,0.0129,0.0245
0.0122,0.0244,0.0122,0.0244,0.0122,0.0244,0.0122,0.0244,0.0122,0.0244
0.0113,0.0258,0.0113,0.0258,0.0113,0.0258,0.0113,0.0258,0.0113,0.0258
0.0126,0.0245,0.0126,0.0245,0.0126,0.0245,0.0126,0.0245,0.0126,0.0245
0.0122,0.0268,0.0122,0.0268,0.0122,0.0268,0.0122,0.0268,0.0122,0.0268
0.0113,0.025,0.0113,0.025,0.0113,0.025,0.0113,0.025,0.0113,0.025
0.0118,0.0266,0.0118,0.0266,0.0118,0.0266,0.0118,0.0266,0.0118,0.0266
0.0129,0.0245,0.0129,0.0245,0.0129,0.0245,0.0129,0.0245,0.0129,0.0245
0.0122,0.026,0.0122,0.026,0.0122,0.026,0.0122,0.026,0.0122,0.026
0.0113,0.026,0.0113,0.026,0.0113,0.026,0.0113,0.026,0.0113,0.026
0.0126,0.0251,0.0126,0.0251,0.0126,0.0251,0.0126,0.0251,0.0126,0.0251
0.0122,0.0255,0.0122,0.0255,0.0122,0.0255,0.0122,0.0255,0.0122,0.0255
0.013,0.0258,0.013,0.0258,0.0113,0.0258,0.0113,0.0258,0.0113,0.0258
0.0129,0.0245,0.0129,0.0245,0.0113,0.0245,0.0113,0.0245,0.0113,0.0245
0.0127,0.0268,0.0127,0.0268,0.0126,0.0268,0.0126,0.0268,0.0126,0.0268
0.0124,0.025,0.0124,0.025,0.0122,0.025,0.0122,0.025,0.0122,0.025
0.0122,0.0266,0.0122,0.0266,0.0113,0.0266,0.0113,0.0266,0.0113,0.0266
0.0121,0.0245,0.0121,0.0245,0.0126,0.0245,0.0126,0.0245,0.0126,0.0245
0.012,0.0251,0.012,0.0251,0.0122,0.0251,0.0122,0.0251,0.0122,0.0251
0.0118,0.0249,0.0118,0.0249,0.0113,0.0249,0.0113,0.0249,0.0113,0.0249
0.0126,0.0268,0.0126,0.0268,0.0126,0.0268,0.0126,0.0268,0.0126,0.0268
0.0122,0.0244,0.0122,0.0244,0.0122,0.0244,0.0122,0.0244,0.0122,0.0244
0.0113,0.0258,0.0113,0.0258,0.0113,0.0258,0.0113,0.0258,0.0113,0.0258
0.0126,0.0245,0.0126,0.0245,0.0126,0.0245,0.0126,0.0245,0.0126,0.0245
0.0122,0.0268,0.0122,0.0268,0.0122,0.0268,0.0122,0.0268,0.0122,0.0268
0.0113,0.025,0.0113,0.025,0.0113,0.025,0.0113,0.025,0.0113,0.025
0.0118,0.0266,0.0118,0.0266,0.0118,0.0266,0.0118,0.0266,0.0118,0.0266
0.0129,0.0245,0.0129,0.0245,0.0129,0.0245,0.0129,0.0245,0.0129,0.0245
0.0122,0.0244,0.0122,0.0244,0.0122,0.0244,0.0122,0.0244,0.0122,0.0244
0.0122,0.0258,0.0122,0.0258,0.0113,0.0258,0.0113,0.0258,0.0113,0.0258
0.0113,0.0253,0.0113,0.0253,0.0126,0.0253,0.0126,0.0253,0.0126,0.0253
0.0118,0.0245,0.0118,0.0245,0.0122,0.0245,0.0122,0.0245,0.0122,0.0245
0.0129,0.0268,0.0129,0.0268,0.0113,0.0268,0.0113,0.0268,0.0113,0.0268
0.0122,0.026,0.0122,0.026,0.0126,0.026,0.0126,0.026,0.0126,0.026
0.0113,0.026,0.0113,0.026,0.0122,0.026,0.0122,0.026,0.0122,0.026
0.0126,0.0251,0.0126,0.0251,0.0113,0.0251,0.0113,0.0251,0.0113,0.0251
0.0122,0.0255,0.0122,0.0255,0.0126,0.0255,0.0126,0.0255,0.0126,0.0255
0.0122,0.0258,0.0122,0.0258,0.0122,0.0258,0.0122,0.0258,0.0122,0.0258
0.0113,0.0245,0.0113,0.0245,0.0113,0.0245,0.0113,0.0245,0.0113,0.0245
0.0126,0.0268,0.0126,0.0268,0.0126,0.0268,0.0126,0.0268,0.0126,0.0268
0.0122,0.025,0.0122,0.025,0.0122,0.025,0.0122,0.025,0.0122,0.025
0.0113,0.0266,0.0113,0.0266,0.0113,0.0266,0.0113,0.0266,0.0113,0.0266
0.0126,0.0245,0.0126,0.0245,0.0126,0.0245,0.0126,0.0245,0.0126,0.0245
0.0122,0.0251,0.0122,0.0251,0.0122,0.0251,0.0122,0.0251,0.0122,0.0251
0.0113,0.0244,0.0113,0.0244,0.0113,0.0244,0.0113,0.0244,0.0113,0.0244
0.0118,0.0258,0.0118,0.0258,0.0118,0.0258,0.0118,0.0258,0.0118,0.0258
0.0112,0.0245,0.0129,0.0245,0.0129,0.0245,0.0129,0.0245,0.0129,0.0245
0.0111,0.0251,0.0122,0.0251,0.0122,0.0251,0.0122,0.0251,0.0122,0.0251
0.011,0.0255,0.0113,0.0255,0.0113,0.0255,0.0113,0.0255,0.0113,0.0255
0.0124,0.0258,0.0126,0.0258,0.0126,0.0258,0.0126,0.0258,0.0126,0.0258
0.0122,0.0245,0.0122,0.0245,0.0122,0.0245,0.0122,0.0245,0.0122,0.0245
0.0121,0.0268,0.0113,0.0268,0.0113,0.0268,0.0113,0.0268,0.0113,0.0268
0.012,0.0251,0.0126,0.0251,0.0126,0.0251,0.0126,0.0251,0.0126,0.0251
0.0118,0.0255,0.0122,0.0255,0.0122,0.0255,0.0122,0.0255,0.0122,0.0255
0.0126,0.0258,0.0113,0.0258,0.0113,0.0258,0.0113,0.0258,0.0113,0.0258
0.0122,0.0245,0.0126,0.0245,0.0126,0.0245,0.0126,0.0245,0.0126,0.0245
0.0113,0.0268,0.0122,0.0268,0.0122,0.0268,0.0122,0.0268,0.0122,0.0268
0.0113,0.0245,0.0113,0.0245,0.0113,0.0245,0.0113,0.0245,0.0113,0.0245
0.0122,0.0244,0.0126,0.0244,0.0126,0.0244,0.0126,0.0244,0.0126,0.0244
0.0113,0.0258,0.0122,0.0258,0.0122,0.0258,0.0122,0.0258,0.0122,0.0258
0.0118,0.0245,0.0113,0.0245,0.0113,0.0245,0.0113,0.0245,0.0113,0.0245
0.0112,0.0253,0.0126,0.0253,0.0126,0.0253,0.0126,0.0253,0.0126,0.0253
0.0111,0.0268,0.0122,0.0268,0.0122,0.0268,0.0122,0.0268,0.0122,0.0268
0.011,0.0269,0.0113,0.0269,0.0113,0.0269,0.0113,0.0269,0.0113,0.0269
